frame.number,frame.time_epoch,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,icmp.type,icmp.code,icmp.seq,frame.len
"1","1759868262.654072170","Oct  7, 2025 14:17:42.654072170 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","1","98"
"2","1759868262.654456920","Oct  7, 2025 14:17:42.654456920 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","1","98"
"3","1759868263.656514929","Oct  7, 2025 14:17:43.656514929 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","2","98"
"4","1759868263.656548478","Oct  7, 2025 14:17:43.656548478 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","2","98"
"5","1759868264.680522791","Oct  7, 2025 14:17:44.680522791 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","3","98"
"6","1759868264.680557630","Oct  7, 2025 14:17:44.680557630 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","3","98"
"7","1759868265.704588422","Oct  7, 2025 14:17:45.704588422 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","4","98"
"8","1759868265.704637154","Oct  7, 2025 14:17:45.704637154 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","4","98"
"9","1759868266.728560500","Oct  7, 2025 14:17:46.728560500 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","5","98"
"10","1759868266.728605628","Oct  7, 2025 14:17:46.728605628 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","5","98"
"11","1759868267.753668912","Oct  7, 2025 14:17:47.753668912 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","6","98"
"12","1759868267.753712584","Oct  7, 2025 14:17:47.753712584 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","6","98"
"13","1759868268.776606462","Oct  7, 2025 14:17:48.776606462 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","7","98"
"14","1759868268.776643175","Oct  7, 2025 14:17:48.776643175 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","7","98"
"15","1759868269.800536829","Oct  7, 2025 14:17:49.800536829 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","8","98"
"16","1759868269.800570092","Oct  7, 2025 14:17:49.800570092 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","8","98"
"17","1759868270.824561549","Oct  7, 2025 14:17:50.824561549 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","9","98"
"18","1759868270.824595709","Oct  7, 2025 14:17:50.824595709 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","9","98"
"19","1759868271.848449766","Oct  7, 2025 14:17:51.848449766 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","10","98"
"20","1759868271.848491991","Oct  7, 2025 14:17:51.848491991 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","10","98"
"21","1759868272.872522932","Oct  7, 2025 14:17:52.872522932 CST","7e:24:8b:54:c2:dd","92:40:1c:4d:15:9e","10.0.0.1","10.0.0.2","1","8","0","11","98"
"22","1759868272.872554634","Oct  7, 2025 14:17:52.872554634 CST","92:40:1c:4d:15:9e","7e:24:8b:54:c2:dd","10.0.0.2","10.0.0.1","1","0","0","11","98"
